connection,username,name,seed_users_following_you
17765013,odersky,Martin Odersky,94
22874473,heathercmiller,Heather Miller,82
29444566,milessabin,Miles Sabin,82
170718652,propensive,Jon Pretty,80
14302386,adriaanm,Adriaan Moors,79
2553304388,li_haoyi,Li Haoyi,78
19418890,jsuereth,Josh Suereth,76
1279634682,typelevel,typelevel.scala,72
1221300014,scala_lang,Scala,72
162283,eed3si9n,∃ugene🥙yokot∀,72
4325301,retronym,Jason Zaugg ⚙️,71
6586332,djspiewak,Daniel Spiewak,70
2375844330,scaladays,Scala Days,69
181862144,eugene_burmako,Eugene Burmako,69
16602164,lightbend,Lightbend,69
298215863,sjrdoeraene,Sébastien Doeraene,69
18994558,jaguarul,Iulian Dragos,68
18160154,jboner,Jonas Bonér,68
137840520,SethTisue,Seth Tisue,65
14622451,etorreborre,etorreborre,65
455142411,olafurpg,Ólafur Páll Geirsson,64
7773542,runarorama,Rúnar,64
548301113,larsr_h,Lars Hupel,64
410854648,tpolecat,Rob Norris,63
16935750,jamie_allen,Jamie Allen,62
19757713,hseeberger,Heiko Seeberger,62
52061552,viktorklang,Lgd. Viktor Klang ꙮ,61
15406736,alexelcu,Alex Nedelcu,60
14430021,mpilquist,Michael Pilquist,60
56078861,rolandkuhn,Roland Kuhn,59
315265842,cvogt,Christopher Vogt,59
46982053,dwijnand,Dale Wijnand,58
21536116,pchiusano,Paul Chiusano,58
146948976,StefanZeiger,Stefan Zeiger 🦋,58
8041522,d6,⛭ etherik ⛭,57
40961352,LukaJacobowitz,Luka Jacobowitz 🏳️‍🌈,57
6562002,debasishg,Debasish (দেবাশিস্) Ghosh 🇮🇳,56
54490597,ktosopl,Konrad ‘ktoso’ Malawski,56
26209148,gkossakowski,Grzegorz Kossakowski,55
30200730,bvenners,Bill Venners,53
15740484,mircodotta,Mirco Dotta,53
15232432,deanwampler,Dean Wampler,53
3425836427,scalaworldconf,Scala World,53
16156256,noelwelsh,Noel Welsh,51
2911461333,DanielaSfregola,Daniela Sfregola,51
15123574,timperrett,Timothy Perrett,51
6510972,travisbrown,Travis Brown,51
2264250288,ScalaTimes,Scala Times,51
18944723,raulraja,Raúλ Rajⓐ,49
2508068426,jvican,Jorge Vicente Cantero,49
418936416,philippkhaller,Philipp Haller,49
474974342,alexprokopec,Aleksandar Prokopec,48
98145567,helenaedelson,Complex Human,47
799616,_JamesWard,James Ward,47
5961382,rit,brendan. allegedly. 🦦,46
43522344,den_sh,Denys Shabalin,46
8815922,posco,P. Oscar Boykin,46
52010763,davegurnell,Dave Gurnell,45
11352392,adamwarski,Adam Warski,44
15229928,gabro27,Gabriele Petronella,44
17863888,ijuma,Ismael Juma,44
200653266,mandubian,mandubianhotep,44
8495542,sirthias,Mathias,43
7534882,lrytz,🄻🅄🄺🄰🅂 🅁🅈🅃🅉,43
30564968,FelixMulder,Felix Mulder,43
17271117,jdegoes,John A De Goes,43
15177704,jroper,James Roper,42
17779075,channingwalton,𝗖𝗵𝗮𝗻𝗻𝗶𝗻𝗴,42
249073676,huntchr,Christopher Hunt,42
19044984,jamesiry,James Iry,41
1372082066,ScalaItaly,ScalaItaly,41
118185789,patriknw,Patrik Nordwall,41
410939902,headinthebox,Erik Meijer,41
2557309010,alxarchambault,Alex Archambault,40
77062104,nadamin,Nada Amin 🇨🇭ندى أمين,40
54610272,mabrewer7,Mark Brewer,40
788835,dickwall,Dick Wall,40
155604471,JulienTruffaut,Julien Truffaut,40
258032124,ChiefScientist,Alexy Khrabrov and 2020 others,40
978819294535585792,yifan_xing_e,Yifan Xing,40
55532730,tbjerkes,Trond Bjerkestrand,39
22902780,lutzhuehnken,Lutz Hühnken,39
46573604,adelbertchang,Adelbert Chang,39
2453916726,scala_sbt,sbt,39
3004515224,ScalaBridge,ScalaBridge,39
704279159871315968,scala_native,Scala Native,38
14052358,gclaramunt,Gabriel Claramunt,38
25103,jessitron,Jessica Joy Kerr,38
215271396,darkdimius,Dmitry Petrashko,38
307811422,ValentinKasas,🙏 override lazy val ❤️,37
440686069,akkateam,Akka Team,37
15594928,holdenkarau,holden karau,37
2594814704,ebenwert,Justin Kaeser 🧼👏💦,37
11530592,noelmarkham,Noel,37
20909005,EncodePanda,Paweł Szulc,36
13334762,github,GitHub,36
14461202,cbirchall,Chris Birchall,36
187074794,47deg,47 Degrees,35
16436452,nuttycom,Kris Nuttycombe,35
439249277,underscoreio,Underscore,35
791652549338226689,triple_quote,Triplequote,35
17606964,BartoszMilewski,Bartosz Milewski,35
376372559,nescalas,Northeast Scala Symposium,35
33860779,Jorge__Galindo,Jorge Galindo (@🏠),34
26864569,dcsobral,Daniel Capo Sobral,34
27537837,kelleyrobinson,Kelley Robinson,34
16781974,kmett,Edward Kmett,33
2473138729,ScaleByTheBay,Scale by the Bay,33
16030207,kaffeecoder,Daniel Westheide,33
3438871047,scala_js,Scala.js,33
920378737,thescalawags,Scalawags Podcast,33
2863743586,scalaexchange,Scala eXchange London,32
111539364,h3nk3,@h3nk3 🇸🇪🇬🇧🇺🇸,32
117884044,ScalaIDE,Scala IDE,32
32418837,andygscott,Andrew Scott,32
234362929,mjpt777,Martin Thompson,32
295976669,joescii,Joe Daniel Barnes,32
1946871116,scalarconf,Scalar Conference,32
433898790,stewSqrd,Stewart · Stewart,32
2340978469,ScalaFriends,Scala Friends,32
1234718042,darjutak,Darja Jovanovic,32
16892506,renatocaval,Renato Cavalcanti,32
1382893914,ScalaIO_FR,ScalaIO_FR,31
2150733381,a_dev_musing,Rory,31
19324013,rossabaker,Ross A. Baker,31
5429202,yukifartlek,Amateur,31
33549968,MariaLiviaCh,Maria Livia C.,31
12503922,bodil,"Bodil Stokke, Esq.",31
178018894,Blaisorblade,Paolo G. Giarrusso,31
1128765451,tiarkrompf,Tiark Rompf,30
188404315,coolscala,Cool Scala,30
198579020,kubukoz,Jakub Kozłowski λ,30
37858862,kailuowang,Kai(luo) Wang,30
14639927,BrianGoetz,Brian Goetz,30
18273442,thecoda,Kevin Wright,30
108973855,cakesolutions,Cake Solutions Ltd,30
17196443,playframework,Play Framework,30
19482985,fst9000,Frank S. Thomas,30
112137024,aloiscochard,functional.cafe/@alois,30
19150497,virtualvoid,Johannes Rudolph,30
165106369,pbvie,Petra Bierleutgeb,30
184016348,BesseIFunction,Marina 💙,29
39728206,bantonsson,Björn Antonsson,29
806630282795319300,ScalaSwarmConf,Scala Swarm 2020,29
29976216,honzam399,Jan Macháček,29
34270684,puffnfresh,Brian McKenna,29
201130645,matei_zaharia,Matei Zaharia,28
963250632,VladUreche,Vlad Ureche,28
1941471,tlockney,Thomas Lockney,28
353768648,huitseeker,Francois Garillot,28
135231570,oxbow_lakes,Chris Marshall,28
21599649,richdougherty,Rich Dougherty,28
6001592,JorgeO,Jorge Ortiz,28
980110936781574144,impurepics,Impure Pics,28
60093,d6y,Richard Dallaway,28
24160034,intellijidea,IntelliJ IDEA,27
146441370,c05m1x,Gorazd Kozmus,27
272515367,MasseGuillaume,Guillaume Massé,27
162605400,ScalaAtSO,ScalaAtStackOverflow,27
523929270,aaronmblevin,Aaron Levin,27
22037651,brianclapper,Brian Clapper,27
171419436,julienrf,Julien Richard-Foy,27
764012354631675905,BeeScalaConf,BeeScala Conference,27
2362979737,lambda_conf,LambdaConf,27
3330520708,pitopos,よ,26
793799617,flaviowbrasil,Flavio Brasil,26
15295946,mrt1nz,Martin Krasser,26
14933951,biboudis,Aggelos Biboudis,26
160171917,sky1uc,Luc Bourlier,26
85144437,kvnwbbr,Kevin Webber,26
22738113,yakticus,Julie Pitt,25
14746057,skaalf,Julien Tournay,25
48823,havocp,Havoc Pennington,25
16587559,khrabrov,@chiefscientist,25
142589904,mariofusco,Mario Fusco 🇪🇺,25
820211,arosien,Adam Rosien,25
16048796,SusanPotter,Susan Potter,25
823986072,WiemZin,Wiem 2.1 🔧,25
12876952,elmanu,the network is reliable,25
1491081,hmemcpy,Igal Tabachnik,25
12130832,amandalaucher,Amanda Laucher,25
3342509847,Lambda_World,Lambda World,25
21493276,n8han,Nathan Hamblen,25
14130951,kings13y,kings13y,25
30073512,tixxit,Tom Switzer,24
181214200,xuwei_k,Kenji Yoshida,24
923242740728631297,_zainabali_,Zainab Ali,24
536772025,StewOConnor,s2w,24
17635878,edwinbrady,Edwin Brady,24
1548547333,tabdulradi,Tamer Abdulradi,24
2164547642,scalacheck,ScalaCheck,24
82293310,softwaremill,softwaremill,24
14149740,S11001001,Stephen Compall,24
14384644,mckeeh3,Hugh McKee,24
16345873,skillsmatter,Skills Matter,24
702990382393470976,Lagom,Lagom,24
196215917,oacgnol,Long Cao,24
233872539,mapastr,Mario Pastorelli,24
786501293330173952,scalameta,Scalameta,23
2415160136,unisonweb,Unison,23
199209052,TheOTown,Oliver J. White,23
93224926,ochrons,Otto Chrons,23
6603532,b0rk,🔎Julia Evans🔍,23
23006699,jteigen,Jon-Anders Teigen,23
1398261,sellout,Greg Pfeil,23
2422588014,Tornadolobo,Sandra Wolf 🐺,23
420976329,apnylle,Johan Andrén,23
812786137,petr_zapletal,Petr Zapletal,23
4642951,swartzrock,Jason Swartz,23
34778769,springrod,Rod Johnson,23
4569047273,LX_Scala,LX Scala & Reactive 2019,23
9889292,nraychaudhuri,Nilanjan R,23
2515746551,SofiaVJones,Sofia Vaughan-Jones,23
1057665338,DajanaGuenther,Dajana,23
361122703,VirtusLab,VirtusLab,22
719354688,ShadajL,Shadaj Laddad,22
76561387,nehanarkhede,Neha Narkhede,22
41674718,m_st,Mirko Stocker,22
303056479,FouriersTrick,Cody Allen,22
18713,al3x,Alex Payne,22
1243555766,ScalaFact,ScalaFact,21
251591720,londonscala,London Scala User Group,21
282739245,shipilev,Aleksey Shipilëv,21
7401782,dmarsh,Dianne Marsh,21
61135090,joshbloch,Joshua Bloch,21
14407620,pvillega,"Snowflake, Esq.",21
12844902,clementd,cλementd on mastodon,21
311449627,Oli_kitty,Oli,21
12056892,stuhood,Stu Hood,21
50956346,pavelfatin,Pavel Fatin,21
3241576024,volpegabriel87,Gabrieλ Voλpe,21
13192,avibryant,Avi Bryant,21
79906250,derekhenninger,Derek Henninger,21
40545671,Gilad_Bracha,Gilad Bracha,21
2458121491,harrylaou,Harry λaouλakos,21
14206328,myfear,Markus Eisele,21
157671522,muuki88,Muki Seiler,21
38913594,jaceklaskowski,Jacek Laskowski,21
151535146,smdiehl,Stephen Diehl,20
5748162,will_sargent,Will Sargent,20
226204003,ShaneDelmore,Shane Delmore,20
2880203504,curry_on_conf,Curry On Conf,20
1345043875,Functionalworks,Functional Works,20
14299819,mreinhold,Mark Reinhold,20
7698,marius,marius eriksen,20
26724164,khayes4days,Kathleen Hayes,20
52684835,ryanlecompte,Ryan LeCompte,20
81970196,Mkelland,Mike Kelland,20
4836045227,gosubpl,Janek P,20
62628733,runT1ME,Vincent Marquez,20
126226388,jaykreps,Jay Kreps,20
23021955,Gentmen,Kevin Meredith,20
40653789,burakemir,Burak Emir,20
295573357,sprayio,spray.io,20
318773287,diesalbla,Diego E. Alonso Blas,20
33162329,ryanonsrc,Ryan Delucchi,19
14146389,jetbrains,JetBrains,19
16156646,tomas_mikula,Tomas Mikula,19
39829024,nickelsberry,Nick Elsberry,19
3130355062,ScalaUpNorth,Scala Up North,19
23971403,adriancolyer,Adrian Colyer,19
1075311183832539136,IntelliJScala,IntelliJ Scala,19
736380263387803648,davenpcm,Chris Davenport,19
100532692,kikisworldrace,Kiki's World Race,19
53169898,lkuczera,Lukasz Kuczera,19
28536865,derekwyatt,Derek Wyatt,19
16818440,corruptmemory,Jim Powers,19
93016827,guizmaii,Jules Ivanic,19
2563957176,jarek000000,Jarek Ratajski,19
17140452,NicolasRinaudo,Nicolas Rinaudo,19
28331572,japgolly,David Barri,19
3150467831,jodersky,Jakob Odersky,19
20013285,alexcruise,Agh,19
931508449,argumatronic,Monoid Mary,18
567642116,alissapajer,Alissa Pajer,18
14349496,Mads_Hartmann,Mads ♥mann,18
265006521,iravid_,Itamar Ravid,18
132853743,fanf42,Francois Armand,18
4623142584,scalaspec,Scala Language Spec,18
2366625254,RomanowskiKr,Krzysztof Romanowski,18
474087360,flatmaposlo,flatMap(Oslo),18
1562518867,databricks,Databricks,18
86905773,mfirry,Marco F.,18
1063917887188922370,scala_love,Scala.Love,18
1729289012,GabrielG439,Gabriel Gonzalez,18
724027212245008384,0hrely,ely 👻,18
44196397,elonmusk,Elon Musk,18
37688664,pedrofurla,Pedro Furlanetto,18
16665197,martinfowler,Martin Fowler,18
3930521,dpp,"David ""Bear Feeder"" Pollak🐈",18
3315105618,stuckintheory,Sandro Stucki,18
2979751391,and_prf,Andrea,18
449981823,MarkusJura,Markus Jura,18
14796095,wendydevolder,wendydevolder,18
28544187,RayRoestenburg,Ray,18
3370311915,_codejitsu,Alex,18
1287555762,apachekafka,Apache Kafka,18
2444034188,ScalaMatsuri,scalamatsuri,18
376825877,TwitterOSS,Twitter Open Source,18
789753234961362944,scala_lisbon,Scala Lisbon,18
10826422,ironfish,Duncan DeVore,18
6844292,TwitterEng,Twitter Engineering,17
90640376,prasinous,Rose Toomey,17
14572517,deech,deech,17
47754999,andanthor,Alejandro Lujan,17
6815762,cmeik,march of the @penguins,17
56127471,missingfaktor,Rahul Goma Phulore #flattenthecurve🦠,17
16891384,KentBeck,Kent Beck,17
35203517,jeanhelou,Jean Helou,17
2301597031,scalac_io,scalac.io,17
113660128,implicit_ly,implicit.ly,17
237889982,higherkinded,Nermin Šerifović,17
770209022,klaehnr,Rüdiger Klaehn,17
11352672,szimano,szimano,17
464979933,nikivazou,Niki Vazou,17
14429713,venkat_s,Venkat Subramaniam,17
271516623,jeanqasaur,Jean Yang ⚡,17
15467458,Sadache,Sadek Drobi,17
13710982,seanparsons,seanparsons,17
702604969615052800,MRElsberry,Maureen Elsberry,17
766415696,drewhk,Endre Sándor Varga,17
277437617,katiejots,Katie Ots,17
50274209,pigworker,Conor Mc Bride,17
392789686,aplokhotnyuk,Andriy Plokhotnyuk,16
1721808378,manojah_shanti,Manohar Jonnalagedda,16
13447902,copumpkin,Dan P,16
335818451,vojjov,Vojin Jovanovic,16
810846128400896000,ScalaSphere,ScalaSphere,16
5970492,andy1138,𓄿𓈖𓂧𓇌,16
6279162,softprops,Doug Tangren 🐑,16
2821201293,Krever01,Wojtek Pituła,16
1397791753,ZalandoTech,Zalando Technology,16
459949985,michaelarmbrust,Michael Armbrust,16
18106594,iamwarry,Maxime Dantec,16
750318839464853504,scalawavepl,Scala Wave,16
3152447094,rahulmutt,Rahul Muttineni,16
28045502,strangeloop_stl,Strange Loop Conf,16
824776921,Evanfchan,Evan Chan,16
37515662,viskobatz,Libby,16
1675777418,KenScambler,kenbot,16
22909464,katrinsh,Katrin Shechtman,16
20847695,noootsab,aℕdy ℙetrella,16
229285768,jedws,Jed Wesley-Smith,16
50010328,leifwickland,Leif on the wind,16
360876715,benjymontoya,Benjy Montoya,16
19387980,loic_d,Loïc Descotte,16
268923861,vkostyukov,Vladimir Kostюkov,16
828985266488668160,ScalaQuest,ScalaQuest,16
11870942,sushila,sushila,15
908220537545076737,vjkuncak,Viktor K.,15
48783,dff,Donald Fischer,15
4567722263,MateuszKubuszok,Mateusz Kubuszok,15
71042068,ekhfre,Fredrik Ekholdt,15
749929365979422720,ScalaSlovenia,Scala Slovenia,15
76673184,VaughnVernon,Vaughn Vernon,15
2694002833,breckcs,Colin Breck,15
22544940,teozaurus,teo danciu,15
19354604,alexey_r,Alexey Romanov,15
8125452,ebowman,Eric Bowman,15
3060530396,RichardWhaling,Richard Whaling,15
777756197701099520,graalvm,GraalVM,15
326332967,owickstrom,Oskar Wickström,15
17534675,berenguel,"Ruben Berenguel, PhD",15
563961314,DrMarkCLewis,Mark Lewis,15
397782926,hillelogram,Hillel,15
37239338,MattRussellUK,Matt Russell,15
25731201,alvinalexander,Alvin Alexander,15
3667832543,mnduhem,Martin Duhem,15
14569541,puredanger,Alex Miller,15
1365221191,_ichoran_,Rex Kerr,15
6501992,silverSpoon,Andrea,15
2999586202,milanoscala,Milano Scala Group,15
254525249,rafalpokrywka,Rafał Pokrywka,15
1020790608,krakowscala,KrakówScalaUserGroup,15
785764172,githubstatus,GitHub Status,15
14733354,ahoy_jon,Jonathan Winandy,15
14459351,jstrachan,James Strachan,14
2900685628,cal_fern,Calvin L F,14
224107496,OE_uia,Taisuke OE,14
320373620,bescala,BeScala,14
2318802312,papers_we_love,Papers We Love,14
10723232,mighdoll,Lee Mighdoll,14
552581863,pagoda_5b,pagoda_5b,14
431984720,BoldRadius,BoldRadius Solutions,14
181567056,d_christiansen,David Thrane Christiansen,14
17018404,tomerg,Tomer Gabel,14
1966437091,LambdaDays,Lambda Days,14
47886702,sinisa_lyh,Neville Li,14
50330729,jaimefjorge,Jaime Jorge,14
4794692436,adkozlov,Andrew Kozlov,14
13240282,vdichev,Vassil Dichev,14
17712257,rxin,Reynold Xin,14
4324751,starbuxman,"Josh Long (龙之春, जोश, Джош Лонг,  جوش لونق)",14
125485258,java,Java,14
138823724,guillaumebort,Guillaume Bort,14
501656285,vlovgr,Viktor Lövgren,14
19070986,Felienne,/Fay-lee-nuh/,14
46130870,richhickey,Rich Hickey,14
458594282,gourlaysama,Antoine Gourlay,14
556239136,ppremont,Patrick Prémont,14
450169309,wanderlustzoe,Zoë Frances Weil,14
508705193,simon_yann,Yann Simon,14
9462812,gwenshap,Gwen (Chen) Shapira,14
855835988,lexi_lambda,Alexis King,14
1551361069,ApacheSpark,Apache Spark,14
14385735,_romac,Romain Ruetschi,14
141659077,functionaljobs,Functional Jobs,14
16905598,eamelink,Erik Bakker,14
44327341,inkytonik,Tony Sloane,14
