user_id,tweet_id,text,like_count,retweet_count
22874473,970609542357757954,"People who maintain open source software deserve to have normal lives. E.g., enough money to live reasonably, enoug… https://t.co/PwptXi39Ea",1492,506
15594928,1087873001167548416,"I had a ""slight"" data problem and now I have an uncountable number of regular expressions.",1343,92
410854648,1230151267311378432,"i have been using java for more than 20 years and still, every single time https://t.co/J31qtUefAW",1314,198
17765013,987299855545655296,It's official - Dotty will become Scala 3: https://t.co/XQ1IyiZbmc,1229,842
1221300014,1138322341757378560,"🎉 Scala 2.13 is here! Simpler, faster, safer collections is the centerpiece. And: library enhancements, literal typ… https://t.co/YJC4UQD0Np",1063,537
22874473,998825051792269312,"So, some pretty big life news...

Come fall, I've accepted a position as an Assistant Professor at Carnegie Mellon… https://t.co/zJxJLLjcvY",983,35
29444566,1039120611992330240,Delighted to announce that from the end of this month I will be working with @odersky and the EPFL Dotty team on ty… https://t.co/FIFslCYXnL,882,177
548301113,1140662967584923648,"1) Start watching a movie on Netflix while on the train in Switzerland.
2) Train crosses border.
3) Movie is not av… https://t.co/Tp4aoU5yTI",865,150
17271117,1225757327833391104,"Too many startups think: I'll choose Go/Java/etc, because it's easy to hire for devs!

Bad choice.

You can't compe… https://t.co/hFKIFcsuvd",843,189
14461202,800040762150944768,Tupper's Self-referential Formula is like a mathematical quine https://t.co/mEfHZEz36a,789,487
15594928,1096149237115510785,Yay my @ApacheSpark + @kubeflow PR is finally merged: https://t.co/BNqMajG2Ed :D https://t.co/Bq3TqIiSUQ,770,64
17765013,1143426123218526208,"Scala wins the SIGPLAN programming languages award! I'm very happy and thankful for this recognition. 

https://t.co/kIJVJ5U5Ml",761,223
215271396,1119115657776209920,"Announcements made at the conference:
 - types are worked on in a collaboration with the Ruby core team;
 - types w… https://t.co/ZA7fzAwOXI",672,314
17271117,1161950051507363840,"All of the developers I know who passionately advocate for 'no magic' in languages, libraries, and frameworks have… https://t.co/po1tkFRrw3",669,175
198579020,1188179222596075523,"I just saw a programmer write some code.

No side effects.
No unrestricted IO.
No void.
No beans.
No lifecycle hook… https://t.co/VgCi991aN6",664,162
181862144,1094951448968716288,"Goodbye, Scala! Today, I'm joining Google to work on Swift for Tensorflow. It's been an absolute blast to work on c… https://t.co/ywwpwX432X",657,64
15594928,1161068037358813184,"I work at Apple now :) As always I do not represent my employer, present past or future. I look forward to continui… https://t.co/LQpBhaxN8L",654,17
17765013,1199233850364375040,#ScalaThankYou you to @epfl for having given me the chance to pursue my dreams. And thank you to the Scala communit… https://t.co/0TTVHEeQIM,635,83
27537837,1199460806955618304,"Flight attendant: Is there a doctor on this flight?

Dad: *nudging me* that should've been you

Me: Not now Dad

Da… https://t.co/gH6kOC7uhC",619,110
170718652,1170098818286784512,"As a consequence of the revocation of @jdegoes's talk at @scalaexchange, I have decided to decline the offer to spe… https://t.co/Juiq3ehdc4",616,161
1221300014,1208041980212793346,"We are proud to announce Dotty as feature complete with our new, 21st, release! 🎉 This release also brings exciting… https://t.co/427qthScaX",609,228
